"from","to","weight"
"S100A2","RAC1",-0.083
"LY6D","RAC1",-0.049
"SNCG","RAC1",-0.088
"CST6","RAC1",-0.1065
"KRT17","RAC1",-0.081
"S100A4","RAC1",-0.101
"S100P","RAC1",-0.0705
"PLAT","RAC1",-0.0765
"AQP1","RAC1",0.051
"ASS1","RAC1",-0.0505
"BIRC3","RAC1",-0.1035
"CCND1","RAC1",-0.035
"LGALS1","RAC1",-0.095
"HN1","RAC1",-0.032
"AQP3","RAC1",0.037
"PLAU","RAC1",-0.106
"TNFSF10","RAC1",-0.107
"IL32","RAC1",-0.0805
"EREG","RAC1",-0.087
"KRT18","RAC1",-0.1195
"VSTM2L","RAC1",-0.084
"PSMB9","RAC1",-0.1015
"TGM2","RAC1",-0.059
"AREG","RAC1",-0.0335
"HLA-DPB1","RAC1",0.0555
"VIM","RAC1",-0.069
"AQP5","RAC1",0.045
"CHI3L1","RAC1",0.049
"CRIP1","RAC1",-0.0825
"TNFRSF21","RAC1",-0.1225
"TMC5","RAC1",-0.033
"SERPINA1","RAC1",0.041
"TSPAN1","RAC1",-0.033
"SLC16A3","RAC1",-0.0875
"RHOD","RAC1",-0.045
"PRSS23","RAC1",-0.088
"ITGA2","RAC1",-0.055
"ANXA1","RAC1",-0.042
"TSPAN8","RAC1",0.06
"HLA-DPA1","RAC1",0.0345
"KRT7","RAC1",-0.109
"CARHSP1","RAC1",-0.079
"CD74","RAC1",0.049
"LRRK2","RAC1",0.118
"CKS2","RAC1",0.06
"ANKRD36C","RAC1",-0.055
"PLAUR","RAC1",-0.088
"HPGD","RAC1",0.0675
"GADD45A","RAC1",-0.1125
"S100A16","RAC1",-0.06
"DUSP5","RAC1",-0.05
"PLEC","RAC1",-0.0735
"B3GNT7","RAC1",-0.0595
"LY6E","RAC1",-0.0575
"PPP1CA","RAC1",-0.0325
"MDK","RAC1",-0.059
"PHLDA1","RAC1",-0.0725
"CRIP2","RAC1",-0.105
"GADD45B","RAC1",0.0755
"DSP","RAC1",-0.124
"TM4SF1","RAC1",-0.13
"TIMP1","RAC1",-0.031
"SLC52A2","RAC1",-0.041
"CSTB","RAC1",-0.0815
"EMP1","RAC1",-0.081
"HES4","RAC1",-0.0315
"MVP","RAC1",0.054
"RARRES3","RAC1",-0.0595
"C11orf96","RAC1",0.0745
"CEACAM6","RAC1",-0.0465
"CD9","RAC1",-0.059
"PDE4C","RAC1",0.061
"MTA1","RAC1",-0.04
"H2AFZ","RAC1",0.031
"CAV2","RAC1",-0.0335
"HLA-F","RAC1",-0.071
"SLC9A3R2","RAC1",-0.0885
"IFT57","RAC1",0.031
"CLDN3","RAC1",-0.0815
"MT1E","RAC1",0.031
"ADGRF1","RAC1",-0.082
"SOX4","RAC1",-0.03
"TMSB10","RAC1",-0.112
"LPCAT1","RAC1",0.067
"CD24","RAC1",-0.1045
"AHNAK","RAC1",-0.0825
"C3","RAC1",0.0335
"LAMB3","RAC1",-0.1015
"PLS3","RAC1",-0.068
"CTSB","RAC1",-0.032
"HOPX","RAC1",0.0595
"EFHD2","RAC1",-0.075
"DDIT3","RAC1",0.0645
"IRF1","RAC1",-0.059
"VEGFA","RAC1",-0.0605
"CORO1B","RAC1",-0.031
"C4BPA","RAC1",0.0865
"NEDD9","RAC1",-0.071
"CTTN","RAC1",-0.0385
"FAM84B","RAC1",-0.0865
"CHCHD2","RAC1",-0.053
"IER3","RAC1",-0.0425
"C4orf48","RAC1",-0.0415
"MAL2","RAC1",-0.085
"CYB5A","RAC1",0.078
"GSTP1","RAC1",0.0385
"CTSD","RAC1",-0.1295
"C9orf16","RAC1",-0.0695
"PPP1R14B","RAC1",-0.042
"SOD3","RAC1",0.0515
"RALA","RAC1",-0.0925
"STAT1","RAC1",-0.036
"HEXIM1","RAC1",0.0785
"HOXD1","RAC1",0.055
"TRIM8","RAC1",-0.031
"RAC1","SERPINB1",-0.1105
"RAC1","NET1",-0.041
"RAC1","MYL12A",-0.0325
"RAC1","SUN1",-0.1065
"RAC1","MARCKSL1",-0.053
"RAC1","SLC25A39",-0.0335
"RAC1","ATP1B1",-0.0355
"RAC1","SPATS2L",-0.065
"RAC1","TUBA1C",0.0375
"RAC1","TSC22D3",-0.0325
"RAC1","TSTA3",-0.0335
"RAC1","MRPS6",-0.053
"RAC1","MBOAT2",-0.064
"RAC1","ANXA2",-0.032
"RAC1","CCDC85B",-0.0345
"RAC1","PPIA",-0.0515
"RAC1","PAFAH1B3",-0.0565
"RAC1","UBE2E3",-0.0355
"RAC1","TUBA4A",-0.0485
"RAC1","ASCC2",0.07
"RAC1","NINJ2",0.096
"RAC1","PGM2L1",-0.054
"RAC1","ENO1",-0.074
"RAC1","ARPC1B",-0.043
"RAC1","HSBP1L1",-0.0335
