"gene","degree","program"
"ASS1",5,"stress"
"C19orf33",5,"remodeling"
"CD24",1,"oncogenic"
"CD99",5,"epithelial"
"CDKN2A",4,"stress"
"CTSH",4,"alveolar"
"GADD45B",1,"stress"
"HEXIM1",1,"stress"
"HMGA1",3,"oncogenic"
"LRRK2",5,"stress"
"MACC1",1,"oncogenic"
"MARCKS",2,"plasticity"
"MUC4",4,"epithelial"
"NAPSA",7,"alveolar"
"PSCA",3,"epithelial"
"S100A4",1,"plasticity"
"S100P",4,"epithelial"
"SFTPA1",7,"alveolar"
"SFTPA2",6,"alveolar"
"SFTPB",6,"alveolar"
"SFTPD",2,"alveolar"
"SLC39A8",5,"stress"
"SNCG",6,"plasticity"
"SPINT2",4,"remodeling"
