"cluster","state_annotation","alveolar","plasticity","epithelial","remodeling","stress","oncogenic","refined_state_annotation"
"0","stress-alveolar state",1.36325243458407,-1.6349453546012,-1.01193997916191,-0.165796118813933,1.51458708882261,-1.80201232879859,"alveolar-stress"
"1","stress-alveolar state",0.210611642542747,-0.197999781395343,-0.0160819623849296,-0.619866845045523,0.693501775902533,-0.277386482338023,"alveolar-stress"
"2","stress-alveolar state",1.59055063831214,-1.01109956214614,-0.50580784931183,-1.06619059634863,1.62977694036827,-1.52401753434997,"alveolar-stress"
"3","alveolar-stress state",0.861858132271808,-1.02266465296136,-0.757422682969137,-1.40047708697585,0.32830226486292,-0.243254125570009,"alveolar-stress"
"4","oncogenic-alveolar state",-0.00492409855747018,-0.0623555519130915,-0.293529806901084,-0.753954346747833,-0.79112239862644,0.658314119428126,"alveolar-oncogenic"
"5","oncogenic-plasticity state",-1.03020569586753,0.308689855677262,-0.308678389261182,-0.0530975871723546,-0.716975535100218,1.15467857489866,"oncogenic-plasticity"
"6","remodeling-oncogenic state",-1.20260860402144,0.805975932657925,0.65707178762613,1.72083970628748,-0.536881416802563,1.04820111798277,"oncogenic-remodeling"
"7","epithelial-plasticity state",-0.783467390614928,1.68092597408449,2.32154267607407,0.664606806662253,-0.622031767777005,0.565427887339205,"epithelial-plasticity"
"8","plasticity-remodeling state",-0.187876384904855,0.604925577817728,-0.797499653566894,0.597291909444382,-1.26060511823657,0.108310483530328,"plasticity-remodeling"
"9","remodeling-epithelial state",-0.817190673744544,0.528547562779734,0.712345859856771,1.07664415871001,-0.238551833413541,0.311738287877518,"epithelial-remodeling"
