"cluster","alveolar","plasticity","epithelial","remodeling","stress","oncogenic","dominant_program","state_annotation","cluster_state"
"0",0.911923578964657,0.299191368109853,0.296675030147431,0.715234825793234,0.519239247416398,0.345932852271106,"alveolar","alveolar-stress","C0 | alveolar-stress"
"1",0.643349213021344,0.462724661495153,0.422100895461551,0.664221024876763,0.473680235975318,0.495565682041092,"remodeling","alveolar-stress","C1 | alveolar-stress"
"2",0.964885847320792,0.370188877623822,0.360421125755698,0.614077578761594,0.52563070964558,0.373216364387368,"alveolar","alveolar-stress","C2 | alveolar-stress"
"3",0.795094764852829,0.368872698761812,0.328730856956663,0.576521260997067,0.453416655029558,0.498915566959922,"alveolar","alveolar-stress","C3 | alveolar-stress"
"4",0.593127690927202,0.478161813736386,0.387157022548221,0.649156602701835,0.391303887636406,0.587399051641105,"remodeling","alveolar-oncogenic","C4 | alveolar-oncogenic"
"5",0.35422901858087,0.520389075944631,0.385249095897244,0.727896246414765,0.395418025047655,0.636114228706821,"remodeling","oncogenic-plasticity","C5 | oncogenic-plasticity"
"6",0.314057785648695,0.576983307096943,0.50688295290568,0.927194018103109,0.405410786904293,0.625664108618654,"remodeling","oncogenic-remodeling","C6 | oncogenic-remodeling"
"7",0.411720983419097,0.676558033161807,0.716518963217076,0.808528683056985,0.400686106346484,0.578282828282828,"remodeling","epithelial-plasticity","C7 | epithelial-plasticity"
"8",0.550498369942814,0.5541025332692,0.323683261183261,0.800966009299343,0.365254014063538,0.533419512586179,"remodeling","plasticity-remodeling","C8 | plasticity-remodeling"
"9",0.403863193336878,0.545410242778664,0.513844586213007,0.854820131135921,0.421964000911369,0.553384724437356,"remodeling","epithelial-remodeling","C9 | epithelial-remodeling"
