"gene","mean_distance_top100","max_distance_top100","sig_genes_top100","n_DR_genes_total","status"
"RAC1",3.44213933485019e-05,0.00171309426956415,13,100,"success"
"AREG",3.20349438759361e-05,0.00134830924232629,6,100,"success"
"LPCAT1",2.38215863112231e-05,0.00107289695169382,5,100,"success"
"TMSB10",2.23142201289917e-05,0.00100090309374057,6,100,"success"
"CTSD",1.62500731771251e-05,0.000521578697015872,7,100,"success"
"LDHA",1.61214946613757e-05,0.000505711171521312,7,100,"success"
"ANXA2",8.48742145161387e-06,0.00036110588432864,3,100,"success"
"PON2",5.21183204201928e-06,0.00020010528285931,6,100,"success"
"S100A6",4.99495878652485e-06,0.000188471124695093,8,100,"success"
"TAGLN2",1.89988705712996e-06,8.03468655785102e-05,10,100,"success"
